0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:48:35 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:48:36 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:48:38 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:50:45 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:50:56 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:14:37 -0300] "OPTIONS /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:14:37 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:15:34 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:12 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:16 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:21 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:28 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:34 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:40 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:52 -0300] "OPTIONS /senhor-financas/rest/receita/excluir HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:52 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:17:53 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:18:31 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:18:55 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:19:19 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:19:22 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:19:25 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:17:19:27 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:17:55 -0300] "OPTIONS /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:17:56 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:18:16 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:29:08 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:29:47 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:30:52 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:31:21 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:31:29 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:31:48 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
