127.0.0.1 - - [01/Dec/2023:15:09:45 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:10:31 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:12:29 -0300] "OPTIONS /senhor-financas/rest/usuario/logar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:12:29 -0300] "POST /senhor-financas/rest/usuario/logar HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:16:08 -0300] "OPTIONS /senhor-financas/rest/receita/listar/2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:16:08 -0300] "GET /senhor-financas/rest/receita/listar/2 HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:16:44 -0300] "POST /senhor-financas/rest/usuario/logar HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:16:52 -0300] "POST /senhor-financas/rest/usuario/logar HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:16:55 -0300] "OPTIONS /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:16:55 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:18:29 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:19:03 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:19:35 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:20:36 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:21:13 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:21:23 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:23:18 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:23:50 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:24:03 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:44:20 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:44:37 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:44:42 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:50:14 -0300] "OPTIONS /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:50:14 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:51:18 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:15:59:15 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:16:00:28 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:16:01:15 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:16:02:19 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Dec/2023:16:06:23 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2572
